Ontology File;Number of Classes;Number of Object Properties;Number of Datatype Properties;Total Properties;Relationship Richness;Class Documentation Coverage;Property Documentation Coverage;Class Naming Consistency;Property Naming Consistency;Axiom Richness;Cardinality Restrictions;Properties with Domain;Properties with Range;Disjoint Classes;Functional Properties;Inverse Functional Properties;SomeValuesFrom Restrictions;AllValuesFrom Restrictions
DABGEO\3-domain-task layer\application_type\city_energy_performance_assessment\districtenergygeneration\DistrictEnergyGeneration.owl;4;0;0;0;0.0;1.0;0.0;1.0;0.0;2.5;0;0;0;0;0;0;0;0
DABGEO\3-domain-task layer\application_type\city_energy_performance_assessment\efficiencyindicators\EfficiencyIndicators.owl;11;0;0;0;0.0;1.0;0.0;1.0;0.0;2.1818181818181817;0;0;0;0;0;0;0;0
DABGEO\3-domain-task layer\application_type\city_energy_performance_assessment\emissionindicators\EmissionIndicators.owl;3;0;0;0;0.0;1.0;0.0;1.0;0.0;2.3333333333333335;0;0;0;0;0;0;0;0
DABGEO\3-domain-task layer\application_type\city_energy_performance_assessment\energycostindicators\EnergyCostIndicators.owl;2;0;1;1;0.3333333333333333;1.0;1.0;1.0;0.0;3.0;0;1;1;0;0;0;0;0
DABGEO\3-domain-task layer\application_type\city_energy_performance_assessment\energyperformanceindicators\EnergyPerformanceIndicators.owl;2;0;0;0;0.0;0.5;0.0;1.0;0.0;4.0;0;0;0;0;0;0;1;0
DABGEO\3-domain-task layer\application_type\city_energy_performance_assessment\householdfactors\HouseholdFactors.owl;15;2;0;2;0.11764705882352941;0.8;0.0;1.0;1.0;2.3529411764705883;0;0;0;0;0;0;3;0
DABGEO\3-domain-task layer\application_type\city_energy_performance_assessment\individualfactors\IndividualFactors.owl;15;2;1;3;0.16666666666666666;0.8666666666666667;0.0;1.0;1.0;2.1666666666666665;2;0;0;0;0;0;0;0
DABGEO\3-domain-task layer\application_type\city_energy_performance_assessment\populationfactors\PopulationFactors.owl;19;2;1;3;0.13636363636363635;0.8947368421052632;0.0;1.0;1.0;3.9545454545454546;10;0;0;0;0;0;5;0
DABGEO\3-domain-task layer\application_type\city_energy_performance_assessment\renewableenergyindicators\RenewableEnergyIndicators.owl;4;0;0;0;0.0;1.0;0.0;1.0;0.0;2.25;0;0;0;0;0;0;0;0
DABGEO\3-domain-task layer\application_type\home_appliances_dr\appliancedemandresponse\ApplianceDemandResponse.owl;10;12;2;14;0.5833333333333334;0.4;0.6428571428571429;1.0;1.0;3.5;11;0;2;0;0;0;0;6
DABGEO\3-domain-task layer\application_type\home_appliances_dr\appliancephase\AppliancePhases.owl;16;11;7;18;0.5294117647058824;0.75;1.0;1.0;1.0;4.882352941176471;22;3;8;0;0;0;0;10
DABGEO\3-domain-task layer\application_type\home_appliances_dr\applianceworkingmode\ApplianceWorkingMode.owl;10;6;7;13;0.5652173913043478;0.9;1.0;1.0;1.0;5.0;16;0;5;0;0;0;0;7
DABGEO\3-domain-task layer\application_type\home_appliances_dr\deviceflexibility\DeviceFlexibility.owl;10;15;24;39;0.7959183673469388;0.5;0.2564102564102564;1.0;1.0;1.4285714285714286;5;0;1;0;0;0;0;0
DABGEO\3-domain-task layer\application_type\home_appliances_dr\devicepowerprofile\DevicePowerProfile.owl;58;14;23;37;0.3894736842105263;0.5172413793103449;0.7837837837837838;0.9482758620689655;1.0;4.28421052631579;54;1;17;0;0;0;6;21
DABGEO\3-domain-task layer\application_type\home_appliances_dr\devicepreferences\DevicePreferences.owl;7;7;2;9;0.5625;0.7142857142857143;0.5555555555555556;1.0;1.0;2.5;6;0;0;0;0;0;1;0
DABGEO\3-domain-task layer\application_type\home_energy_assessment_device_control\actuatoroperation\ActuatorOperation.owl;6;1;0;1;0.14285714285714285;0.0;0.0;0.5;1.0;14.857142857142858;0;0;0;0;0;0;33;0
DABGEO\3-domain-task layer\application_type\home_energy_assessment_device_control\buildingelementsensors\BuildingElementSensors.owl;4;0;0;0;0.0;0.75;0.0;1.0;0.0;2.5;0;0;0;0;0;0;0;0
DABGEO\3-domain-task layer\application_type\home_energy_assessment_device_control\buildingelementsstructure\BuildingElementsStructure.owl;29;15;11;26;0.4727272727272727;0.10344827586206896;0.8461538461538461;0.6896551724137931;0.9615384615384616;4.672727272727273;16;11;16;0;0;0;0;0
DABGEO\3-domain-task layer\application_type\home_energy_assessment_device_control\buildingstructuralparameters\BuildingStructuralParameters.owl;52;14;8;22;0.2972972972972973;0.8076923076923077;0.9090909090909091;0.7884615384615384;1.0;5.77027027027027;29;13;19;1;0;0;0;0
DABGEO\3-domain-task layer\application_type\home_energy_assessment_device_control\consumptionsystemsfoa\ConsumptionSystemsfoa.owl;22;1;0;1;0.043478260869565216;0.0;1.0;0.7727272727272727;1.0;5.260869565217392;0;0;0;0;0;0;27;5
DABGEO\3-domain-task layer\application_type\home_energy_assessment_device_control\energycapacity\EnergyCapacity.owl;4;0;1;1;0.2;0.75;1.0;1.0;1.0;4.6;0;0;0;0;0;0;4;0
